zcta,year,greenArea,waterArea,urbanArea,covNDVI,corrNDVI,intNDVI,medNDVI,pvalNDVI,slopeNDVI,stderrNDVI,tstatNDVI,covLST,corrLST,intLST,medLST,pvalLST,slopeLST,stderrLST,tstatLST,zhvi_yr_av,zhvi_pct_c,popdens,geo_area,green_inv
"95020",2000.000000000000000,562979600.000000000000000,13488575.000000000000000,55965475.000000000000000,0.167136862377326,0.634602183764204,0.380558619672252,0.399607419967651,0.000165596573426,0.002230970354314,0.000513454816971,4.345017868319630,15.551563747499983,0.618358206301438,301.135371894838727,305.787995420000016,0.000270696553556,0.207584833114572,0.049858793625853,4.163454789386087,355078.312625601654872,1.257908841526610,0.000159612420044,406190194.861712574958801,"0"
"95020",2010.000000000000000,448168575.000000000000000,13154775.000000000000000,48326475.000000000000000,0.160803271830082,0.547343837863772,0.347808099850532,0.421983271837234,0.001745915072993,0.002146428545007,0.000620232929179,3.460681373119786,15.835287890999968,0.630533274464882,301.415252603483850,305.481228124999973,0.000187775764873,0.211372029690767,0.049171447224613,4.298674161962950,380918.858838103071321,1.257908841526610,0.000159612420044,406190194.861712574958801,"0"
"95020",2020.000000000000000,434907550.000000000000000,13082074.999999998137355,48180850.000000000000000,0.164766930043697,0.566784579977412,0.352156002194651,0.380722522735596,0.001092347660138,0.002199336107369,0.000604158875564,3.640327397847457,15.850597772249985,0.635050623028819,301.271609394161317,307.524349580000091,0.000163300575617,0.211576388506118,0.048636437071697,4.350162167393677,801734.461511695757508,1.257908841526610,0.000159612420044,406190194.861712574958801,"0"
"94104",2000.000000000000000,0.000000000000000,107575.000000000000000,66275.000000000000000,0.088394579353432,0.707300657559139,0.020600555729001,0.023756232112646,0.000012406341616,0.001179905397376,0.000222858902507,5.294405492014000,18.225010815750011,0.533950339791204,293.978739995290312,299.517637729999990,0.002373457988752,0.243270444704116,0.072799972283017,3.341628259944622,,,0.002075693602580,206677.902493271918502,"0"
"94104",2010.000000000000000,0.000000000000000,148650.000000000000000,106175.000000000000000,0.074631423254808,0.656791998478486,0.017864081191440,0.048956330865622,0.000080756078395,0.000996192523980,0.000216146947027,4.608866966113868,17.098872918000023,0.496946560448433,293.967780279548379,302.863879310000016,0.005211630295068,0.228238570651836,0.075320040335970,3.030250244606382,,,0.002075693602580,206677.902493271918502,"0"
"94104",2020.000000000000000,0.000000000000000,151800.000000000000000,105625.000000000000000,0.075000503690292,0.655498464166411,0.017545454630688,0.039917677640915,0.000084341985499,0.001001119070393,0.000217969140913,4.592939469323846,17.098872918000023,0.496946560448433,293.967780279548379,296.931905599999993,0.005211630295068,0.228238570651836,0.075320040335970,3.030250244606382,1289825.762207541381940,,0.002075693602580,206677.902493271918502,"0"
"95032",2000.000000000000000,18301275.000000000000000,414675.000000000058208,12269274.999999998137355,0.236499793330828,0.886522605480187,0.403826900643687,0.433253169059753,0.000000000070946,0.003156838175717,0.000311364556903,10.138720370493598,22.400278904999997,0.618946362501853,299.709666136419344,307.695250579999993,0.000266048085098,0.299002610522803,0.071705461526148,4.169872198839008,632895.416396380285732,1.714399615956060,0.000619832276336,42022658.377824380993843,"0"
"95032",2010.000000000000000,39033725.000000000000000,540825.000000000000000,12635000.000000000000000,0.305368006229401,0.866277683497819,0.536145392925509,0.632431566715240,0.000000000620373,0.004076102419080,0.000444220935945,9.175844921413885,17.318053450500027,0.601756969132854,296.262315482000020,299.324519599999974,0.000435305174524,0.231164228482759,0.057981959610127,3.986830214727405,843237.085752354585566,1.714399615956060,0.000619832276336,42022658.377824380993843,"0"
"95032",2020.000000000000000,47511700.000000007450581,545825.000000000000000,13164650.000000001862645,0.316227522492409,0.870266031000470,0.571010172943915,0.676823318004608,0.000000000416585,0.004221057029932,0.000451511397332,9.348727529087904,14.975698586249981,0.567779744538772,295.611967346483993,299.678284670000039,0.001065610198890,0.199898090139043,0.054770261753950,3.649755975917469,1717931.075206685345620,1.714399615956060,0.000619832276336,42022658.377824380993843,"0"
"95439",2000.000000000000000,3947600.000000000000000,22700.000000000000000,597400.000000000000000,0.074511327346166,0.267559139882128,0.383315419381665,0.361864686012268,0.152882188842016,0.000994589464020,0.000676885864914,1.469360664144199,21.226189034999980,0.586999285845815,300.508573182064538,303.676513564999937,0.000650009636735,0.283330665650723,0.073848343894010,3.836655647381483,294860.203467329964042,1.429351627651935,0.000102962737962,7070519.048074023798108,"0"
"95439",2010.000000000000000,7709350.000000000000000,33925.000000000000000,1331875.000000000000000,0.111583972970645,0.394141193042214,0.375529359425268,0.417174190282822,0.031148304535372,0.001489441240987,0.000656344159114,2.269299147869783,20.979721309499993,0.589306304865572,300.518735359806442,303.354365179999945,0.000611292120660,0.280040773875417,0.072554438744051,3.859733170334486,437670.381074599979911,1.429351627651935,0.000102962737962,7070519.048074023798108,"0"
"95439",2020.000000000000000,7611750.000000000000000,22700.000000000000000,1217425.000000000000000,0.090996384123961,0.296012423383237,0.369958773832167,0.374770104885101,0.112226676067313,0.001214634715781,0.000740702508507,1.639841504289006,21.043267997999958,0.582803243346673,300.676938231741929,311.448236539999982,0.000725976425994,0.280889005535038,0.074014650439671,3.795046033001117,716319.115223138709553,1.429351627651935,0.000102962737962,7070519.048074023798108,"0"
"94188",2020.000000000000000,0.000000000000000,0.000000000000000,284225.000000000000000,-0.031391711905599,-0.296307067753242,0.137484074480111,0.125766158103943,1.888147145782509,-0.000419021738451,0.000255247247158,-1.641630783943239,34.869785534999998,0.748598887721557,298.630095545290260,309.129109969999945,0.000001960208427,0.465447637842047,0.077906076631445,5.974471542752262,,,,,
